Entry	Entry name	Protein names	Gene names	Organism	Length	Interacts with	Cross-reference (BioGrid)	Cross-reference (DIP)	Cross-reference (IntAct)	Cross-reference (MINT)	Cross-reference (STRING)	Caution	Miscellaneous [CC]
Q62469	ITA2_MOUSE	Integrin alpha-2 (CD49 antigen-like family member B) (Collagen receptor) (Platelet membrane glycoprotein Ia) (GPIa) (VLA-2 subunit alpha) (CD antigen CD49b)	Itga2	Mus musculus (Mouse)	1178				Q62469;	MINT-1866744;	10090.ENSMUSP00000053891;		
Q62470	ITA3_MOUSE	Integrin alpha-3 (CD49 antigen-like family member C) (Galactoprotein B3) (GAPB3) (VLA-3 subunit alpha) (CD antigen CD49c) [Cleaved into: Integrin alpha-3 heavy chain; Integrin alpha-3 light chain]	Itga3	Mus musculus (Mouse)	1053		200816;		Q62470;	MINT-4098816;	10090.ENSMUSP00000001548;		
O70309	ITB5_MOUSE	Integrin beta-5	Itgb5	Mus musculus (Mouse)	798	P97479	200832;		O70309;	MINT-4099048;	10090.ENSMUSP00000069416;		
Q9Z0T9	ITB6_MOUSE	Integrin beta-6	Itgb6	Mus musculus (Mouse)	787						10090.ENSMUSP00000028348;		
P11881	ITPR1_MOUSE	"Inositol 1,4,5-trisphosphate receptor type 1 (IP3 receptor isoform 1) (IP3R 1) (InsP3R1) (Inositol 1,4,5-trisphosphate-binding protein P400) (Protein PCD-6) (Purkinje cell protein 1) (Type 1 inositol 1,4,5-trisphosphate receptor) (Type 1 InsP3 receptor)"	Itpr1 Insp3r Pcd6 Pcp1	Mus musculus (Mouse)	2749	Q9D1Q6	200847;	DIP-32243N;	P11881;	MINT-4099099;	10090.ENSMUSP00000032192;		"MISCELLANEOUS: Calcium appears to inhibit ligand binding to the receptor, most probably by interacting with a distinct calcium-binding protein which then inhibits the receptor."
Q80XH2	IMPG2_MOUSE	Interphotoreceptor matrix proteoglycan 2 (Sialoprotein associated with cones and rods proteoglycan) (Spacrcan)	Impg2	Mus musculus (Mouse)	1243						10090.ENSMUSP00000063648;		
Q60660	KLRA2_MOUSE	Killer cell lectin-like receptor 2 (Lymphocyte antigen 49b) (Ly-49b) (T-cell surface glycoprotein Ly-49B)	Klra2 Ly49-b Ly49b	Mus musculus (Mouse)	288								
Q64329	KLRA3_MOUSE	Killer cell lectin-like receptor 3 (5E6) (Lymphocyte antigen 49c) (Ly-49c) (Nk2.1) (T-cell surface glycoprotein Ly-49C)	Klra3 Ly-49c Ly49C	Mus musculus (Mouse)	266						10090.ENSMUSP00000085333;		
Q60653	KLRA6_MOUSE	Killer cell lectin-like receptor 6 (Lymphocyte antigen 49f) (Ly-49f) (T-cell surface glycoprotein Ly-49F)	Klra6 Ly-49f Ly49-f Ly49F	Mus musculus (Mouse)	266						10090.ENSMUSP00000073700;		
P27811	KLRBA_MOUSE	Killer cell lectin-like receptor subfamily B member 1A (NKR-P1A) (CD161 antigen-like family member A) (Lymphocyte antigen 55A) (Ly-55A) (NKR-P1.7) (Natural killer cell surface protein P1-2) (NKR-P1 2) (CD antigen CD161a)	Klrb1a Ly55 Ly55a Nkrp1a	Mus musculus (Mouse)	227						10090.ENSMUSP00000032512;		
Q91V45	KISSR_MOUSE	KiSS-1 receptor (KiSS-1R) (G-protein coupled receptor 54) (G-protein coupled receptor OT7T175) (mOT7T175) (Kisspeptins receptor) (Metastin receptor)	Kiss1r Gpr54	Mus musculus (Mouse)	396						10090.ENSMUSP00000040516;		
O54707	KLRD1_MOUSE	Natural killer cells antigen CD94 (Killer cell lectin-like receptor subfamily D member 1) (CD antigen CD94)	Klrd1 Cd94	Mus musculus (Mouse)	179						10090.ENSMUSP00000107694;		
Q3U9G9	LBR_MOUSE	Lamin-B receptor (Integral nuclear envelope inner membrane protein)	Lbr	Mus musculus (Mouse)	626		221046;		Q3U9G9;	MINT-4112231;	10090.ENSMUSP00000005003;		
P27812	KRBBA_MOUSE	Killer cell lectin-like receptor subfamily B member 1B allele A (CD161 antigen-like family member B) (Lymphocyte antigen 55b) (Ly-55b) (NKR-P1 34) (Natural killer cell surface protein NKR-P1B allele SJL/BALB) (NKR-P1B) (CD antigen CD161b)	Klrb1b Ly55b Nkrp1b	Mus musculus (Mouse)	223								
P20937	KLRA1_MOUSE	T-cell surface glycoprotein YE1/48 (Lymphocyte antigen 49a) (Ly-49a) (T lymphocyte antigen A1)	Klra1 Ly-49 Ly-49a Ly49 Ly49A	Mus musculus (Mouse)	262						10090.ENSMUSP00000032288;		
Q60651	KLRA4_MOUSE	Killer cell lectin-like receptor 4 (Lymphocyte antigen 49d) (Ly-49d) (T-cell surface glycoprotein Ly-49D)	Klra4 Ly-49d Ly49-d Ly49d	Mus musculus (Mouse)	263						10090.ENSMUSP00000114004;		
Q60682	KLRA8_MOUSE	Killer cell lectin-like receptor 8 (Lymphocyte antigen 49h) (Ly-49h) (T-cell surface glycoprotein Ly-49H)	Klra8 Ly-49h Ly49-h Ly49H	Mus musculus (Mouse)	266						10090.ENSMUSP00000014476;		
P35951	LDLR_MOUSE	Low-density lipoprotein receptor (LDL receptor)	Ldlr	Mus musculus (Mouse)	862		201133;		P35951;	MINT-1541606;	10090.ENSMUSP00000034713;		
Q60652	KLRA5_MOUSE	Killer cell lectin-like receptor 5 (Lymphocyte antigen 49e) (Ly-49e) (T-cell surface glycoprotein Ly-49E)	Klra5 Ly-49e Ly49-e Ly49e	Mus musculus (Mouse)	266						10090.ENSMUSP00000014683;		
O88713	KLRG1_MOUSE	Killer cell lectin-like receptor subfamily G member 1 (Mast cell function-associated antigen 2F1)	Klrg1 Mafa	Mus musculus (Mouse)	188						10090.ENSMUSP00000032207;		
Q8BG84	LAIR1_MOUSE	Leukocyte-associated immunoglobulin-like receptor 1 (LAIR-1) (mLAIR1) (CD antigen CD305)	Lair1	Mus musculus (Mouse)	263			DIP-61634N;			10090.ENSMUSP00000083589;		
P61793	LPAR1_MOUSE	Lysophosphatidic acid receptor 1 (LPA receptor 1) (LPA-1) (Lysophosphatidic acid receptor Edg-2) (Rec1.3) (VZG-1)	Lpar1 Edg2 Gpcr26 Lpa1 Vzg1	Mus musculus (Mouse)	364	Q9NZN5		DIP-42214N;	P61793;	MINT-1897166;	10090.ENSMUSP00000052581;		
Q9JIT0	LMBR1_MOUSE	Limb region 1 protein	Lmbr1	Mus musculus (Mouse)	490						10090.ENSMUSP00000058405;		
Q3UVD5	LGR6_MOUSE	Leucine-rich repeat-containing G-protein coupled receptor 6	Lgr6	Mus musculus (Mouse)	967				Q3UVD5;		10090.ENSMUSP00000035444;		
Q9D1E5	LMBRL_MOUSE	Protein LMBR1L (Uteroglobin receptor)	Lmbr1l D15Ertd735e Kiaa1174	Mus musculus (Mouse)	489						10090.ENSMUSP00000023736;		
Q8BMC0	LPAR6_MOUSE	Lysophosphatidic acid receptor 6 (LPA receptor 6) (LPA-6) (Oleoyl-L-alpha-lysophosphatidic acid receptor) (P2Y purinoceptor 5) (P2Y5) (Purinergic receptor 5)	Lpar6 P2ry5 P2y5	Mus musculus (Mouse)	344						10090.ENSMUSP00000042327;		
A2AR95	LRAD3_MOUSE	Low-density lipoprotein receptor class A domain-containing protein 3	Ldlrad3	Mus musculus (Mouse)	345		232327;				10090.ENSMUSP00000054134;		
P30730	LSHR_MOUSE	Lutropin-choriogonadotropic hormone receptor (LH/CG-R) (Luteinizing hormone receptor) (LSH-R)	Lhcgr Lhr	Mus musculus (Mouse)	700						10090.ENSMUSP00000024916;		
P48356	LEPR_MOUSE	Leptin receptor (LEP-R) (B219) (OB receptor) (OB-R) (CD antigen CD295)	Lepr Db Obr	Mus musculus (Mouse)	1162	Q8NFJ9; Q62077	201139;	DIP-42763N;	P48356;	MINT-2569396;	10090.ENSMUSP00000037385;		
Q9Z1P4	LGR5_MOUSE	Leucine-rich repeat-containing G-protein coupled receptor 5 (G-protein coupled receptor 49) (Orphan G-protein coupled receptor FEX)	Lgr5 Fex Gpr49	Mus musculus (Mouse)	907						10090.ENSMUSP00000020350;		"MISCELLANEOUS: LGR5 is used as a marker of adult tissue stem cells in the intestine, stomach, hair follicle, and mammary epithelium. {ECO:0000305|PubMed:17934449}."
P42703	LIFR_MOUSE	Leukemia inhibitory factor receptor (LIF receptor) (LIF-R) (D-factor/LIF receptor) (CD antigen CD118)	Lifr	Mus musculus (Mouse)	1092		201163;	DIP-5772N;	P42703;	MINT-4100386;	10090.ENSMUSP00000064551;		
Q9EQ31	LPAR3_MOUSE	Lysophosphatidic acid receptor 3 (LPA receptor 3) (LPA-3) (Lysophosphatidic acid receptor Edg-7)	Lpar3 Edg7 Lpa3	Mus musculus (Mouse)	354						10090.ENSMUSP00000037712;		
P41149	MC5R_MOUSE	Melanocortin receptor 5 (MC5-R)	Mc5r	Mus musculus (Mouse)	325						10090.ENSMUSP00000130497;		
Q8JZL2	MCHR1_MOUSE	Melanin-concentrating hormone receptor 1 (MCH receptor 1) (MCH-R1) (MCHR-1) (G-protein coupled receptor 24) (MCH-1R) (MCH1R) (MCHR) (SLC-1) (Somatostatin receptor-like protein)	Mchr1 Gpr24 Slc1	Mus musculus (Mouse)	423						10090.ENSMUSP00000126191;	CAUTION: It is uncertain whether Met-1 or Met-71 is the initiator. {ECO:0000305}.	
Q9ES57	MO2R1_MOUSE	Cell surface glycoprotein CD200 receptor 1 (CD200 cell surface glycoprotein receptor) (Cell surface glycoprotein OX2 receptor 1)	Cd200r1 Mox2r Ox2r	Mus musculus (Mouse)	326		208327;	DIP-60159N;			10090.ENSMUSP00000053822;	"CAUTION: May be expressed in adult splenic cells (PubMed:15187158), as the antibody used could not discriminate between CD200R1 and CD200R4. May be expressed in uterus at 12.5 dpc (at protein level) (PubMed:15274657), as the antibody used could not discriminate between CD200R1 and CD200R4. {ECO:0000305|PubMed:15187158, ECO:0000305|PubMed:15274657}."	
Q8BTP3	MO2R5_MOUSE	Cell surface glycoprotein CD200 receptor 5 (CD200 cell surface glycoprotein receptor-like 5) (CD200 receptor-like 5) (CD200 cell surface glycoprotein receptor-like e) (CD200RLe) (Cell surface glycoprotein OX2 receptor 5)	Cd200r5	Mus musculus (Mouse)	270								
P24668	MPRD_MOUSE	Cation-dependent mannose-6-phosphate receptor (CD Man-6-P receptor) (CD-MPR) (46 kDa mannose 6-phosphate receptor) (MPR 46)	M6pr 46mpr	Mus musculus (Mouse)	278		201263;		P24668;	MINT-4102408;	10090.ENSMUSP00000007602;		MISCELLANEOUS: This receptor has optimal binding in the presence of divalent cations.
Q8CBH5	MFSD6_MOUSE	Major facilitator superfamily domain-containing protein 6 (Macrophage MHC class I receptor 2)	Mfsd6 Mmr2	Mus musculus (Mouse)	775								
Q80ZE4	MPRA_MOUSE	Membrane progestin receptor alpha (mPR alpha) (PPAR-gamma-induced liver protein) (Progestin and adipoQ receptor family member VII)	Paqr7 Mpra Pglp	Mus musculus (Mouse)	345						10090.ENSMUSP00000080240;		
Q07113	MPRI_MOUSE	Cation-independent mannose-6-phosphate receptor (CI Man-6-P receptor) (CI-MPR) (M6PR) (300 kDa mannose 6-phosphate receptor) (MPR 300) (Insulin-like growth factor 2 receptor) (Insulin-like growth factor II receptor) (IGF-II receptor) (M6P/IGF2 receptor) (M6P/IGF2R) (CD antigen CD222)	Igf2r	Mus musculus (Mouse)	2483		200550;		Q07113;	MINT-200350;	10090.ENSMUSP00000024599;		
Q91ZB8	MRGRD_MOUSE	Mas-related G-protein coupled receptor member D (Beta-alanine receptor) (G-protein coupled receptor TGR7)	Mrgprd Gm499 Mrgd	Mus musculus (Mouse)	321						10090.ENSMUSP00000063021;		
Q920C4	MS4A3_MOUSE	Membrane-spanning 4-domains subfamily A member 3 (Hematopoietic-specific transmembrane protein 4) (HTm4)	Ms4a3 Htm4	Mus musculus (Mouse)	213						10090.ENSMUSP00000108608;		
Q6XJV6	MO2R2_MOUSE	Cell surface glycoprotein CD200 receptor 2 (CD200 cell surface glycoprotein receptor-like 2) (CD200 receptor-like 2) (CD200 cell surface glycoprotein receptor-like c) (CD200RLc) (Cell surface glycoprotein OX2 receptor 2)	Cd200r1l Cd200r2	Mus musculus (Mouse)	249						10090.ENSMUSP00000099869;		
Q80ZE5	MPRB_MOUSE	Membrane progestin receptor beta (mPR beta) (Progestin and adipoQ receptor family member VIII)	Paqr8 Mprb	Mus musculus (Mouse)	354						10090.ENSMUSP00000069127;		
Q91ZC0	MRGB4_MOUSE	Mas-related G-protein coupled receptor member B4	Mrgprb4 Mrgb4	Mus musculus (Mouse)	321								
P30204	MSRE_MOUSE	Macrophage scavenger receptor types I and II (Macrophage acetylated LDL receptor I and II) (Scavenger receptor type A) (SR-A) (CD antigen CD204)	Msr1 Scvr	Mus musculus (Mouse)	458				P30204;		10090.ENSMUSP00000026021;		
Q61006	MUSK_MOUSE	"Muscle, skeletal receptor tyrosine-protein kinase (EC 2.7.10.1) (Muscle-specific tyrosine-protein kinase receptor) (MuSK) (Muscle-specific kinase receptor)"	Musk Nsk2	Mus musculus (Mouse)	868	Q18PE0; P46460	201860;		Q61006;		10090.ENSMUSP00000095665;		
Q6XJV4	MO2R4_MOUSE	Cell surface glycoprotein CD200 receptor 4 (CD200 cell surface glycoprotein receptor-like 4) (CD200 receptor-like 4) (CD200 cell surface glycoprotein receptor-like a) (CD200RLa) (Cell surface glycoprotein OX2 receptor 4)	Cd200r4	Mus musculus (Mouse)	270			DIP-60158N;			10090.ENSMUSP00000110273;	"CAUTION: May be expressed in adult splenic cells (PubMed:15187158), as the antibody used could not discriminate between CD200R1 and CD200R4. May be expressed in uterus at 12.5 dpc (at protein level) (PubMed:15274657), as the antibody used could not discriminate between CD200R1 and CD200R4. {ECO:0000305|PubMed:15187158, ECO:0000305|PubMed:15274657}.; CAUTION: According to some authors (PubMed:15187158), CD200R4 is a receptor for the CD200/OX2 cell surface glycoprotein, but it was later found (PubMed:23602662) to miss key amino-acids for binding to CD200. {ECO:0000305|PubMed:15187158, ECO:0000305|PubMed:23602662}."	
Q61830	MRC1_MOUSE	Macrophage mannose receptor 1 (MMR) (CD antigen CD206)	Mrc1	Mus musculus (Mouse)	1456				Q61830;	MINT-1676071;	10090.ENSMUSP00000028045;		
Q64449	MRC2_MOUSE	C-type mannose receptor 2 (Lectin lambda) (Macrophage mannose receptor 2) (CD antigen CD280)	Mrc2 Kiaa0709	Mus musculus (Mouse)	1479					MINT-4997385;			
Q91WW2	MRGA4_MOUSE	Mas-related G-protein coupled receptor member A4 (RF-amide G-protein coupled receptor)	Mrgpra4 Mrga4	Mus musculus (Mouse)	313						10090.ENSMUSP00000084327;		
Q91ZC4	MRGA8_MOUSE	Mas-related G-protein coupled receptor member A8	Mrgpra8 Mrga8	Mus musculus (Mouse)	305								
Q3UG61	MRGB1_MOUSE	Mas-related G-protein coupled receptor member B1	Mrgprb1 Mrgb1	Mus musculus (Mouse)	350						10090.ENSMUSP00000091946;		
Q91ZB5	MRGRG_MOUSE	Mas-related G-protein coupled receptor member G (Evolutionary breakpoint transcript 2 protein)	Mrgprg Ebrt2 Gm1098 Mrgg	Mus musculus (Mouse)	289						10090.ENSMUSP00000060411;		
Q8CIP3	MRGX1_MOUSE	Mas-related G-protein coupled receptor member X1 (Mas-related G-protein coupled receptor member C11) (Sensory neuron-specific G-protein coupled receptor 1)	Mrgprx1 Mrgc11 Mrgprc11	Mus musculus (Mouse)	322						10090.ENSMUSP00000091954;		
Q01727	MSHR_MOUSE	Melanocyte-stimulating hormone receptor (MSH-R) (Melanocortin receptor 1) (MC1-R)	Mc1r Msh-r	Mus musculus (Mouse)	315		201338;				10090.ENSMUSP00000095929;		
Q61184	MTR1A_MOUSE	Melatonin receptor type 1A (Mel-1A-R) (Mel1a receptor)	Mtnr1a	Mus musculus (Mouse)	353						10090.ENSMUSP00000069872;		
Q9DCU0	MPRG_MOUSE	Membrane progestin receptor gamma (mPR gamma) (Progestin and adipoQ receptor family member V)	Paqr5 Mprg	Mus musculus (Mouse)	330						10090.ENSMUSP00000034817;		
Q91WW5	MRGA1_MOUSE	Mas-related G-protein coupled receptor member A1 (RF-amide G-protein coupled receptor)	Mrgpra1 Mrga1	Mus musculus (Mouse)	304						10090.ENSMUSP00000129978;		
Q91ZC6	MRGA6_MOUSE	Mas-related G-protein coupled receptor member A6	Mrgpra6 Mrga6	Mus musculus (Mouse)	301								
Q3KNA1	MRGB2_MOUSE	Mas-related G-protein coupled receptor member B2	Mrgprb2 Mrgb2	Mus musculus (Mouse)	338						10090.ENSMUSP00000061878;	"CAUTION: In spite of its official gene name, this protein may be the functional ortholog of human MRGPRX2, in terms of expression pattern and pharmacology. {ECO:0000269|PubMed:25517090}."	
Q7TN51	MRGB8_MOUSE	Mas-related G-protein coupled receptor member B8	Mrgprb8 Mrgb8	Mus musculus (Mouse)	330								
Q8VCJ6	MRGRF_MOUSE	Mas-related G-protein coupled receptor member F (Mas-related gene F protein)	Mrgprf Mrgf	Mus musculus (Mouse)	343						10090.ENSMUSP00000033386;		
Q99MT8	MRGRH_MOUSE	Mas-related G-protein coupled receptor member H (G-protein coupled receptor 90)	Mrgprh Gpr90 Mrgh	Mus musculus (Mouse)	321						10090.ENSMUSP00000074768;		
Q91ZC7	MRGA5_MOUSE	Mas-related G-protein coupled receptor member A5	Mrgpra5 Mrga5	Mus musculus (Mouse)	304								
Q91ZC5	MRGA7_MOUSE	Mas-related G-protein coupled receptor member A7	Mrgpra7 Mrga7	Mus musculus (Mouse)	305								
Q91ZC1	MRGB3_MOUSE	Mas-related G-protein coupled receptor member B3	Mrgprb3 Mrgb3	Mus musculus (Mouse)	312								
Q91ZB9	MRGB5_MOUSE	Mas-related G-protein coupled receptor member B5	Mrgprb5 Mrgb5	Mus musculus (Mouse)	322								
Q91ZB7	MRGRE_MOUSE	Mas-related G-protein coupled receptor member E (Evolutionary breakpoint transcript 3 protein)	Mrgpre Ebrt3 Mrge	Mus musculus (Mouse)	310								
Q3UG50	MRGX2_MOUSE	Mas-related G-protein coupled receptor member X2 (Mas-related G-protein coupled receptor member B10)	Mrgprx2 Mrgprb10	Mus musculus (Mouse)	352						10090.ENSMUSP00000127022;	"CAUTION: In spite of its official gene name, this protein may not be the functional ortholog of human MRGPRX2. {ECO:0000305}."	
Q91WW4	MRGA2_MOUSE	Mas-related G-protein coupled receptor member A2	Mrgpra2 Mrga2	Mus musculus (Mouse)	305						10090.ENSMUSP00000113310;		
O88495	MTR1L_MOUSE	Melatonin-related receptor (G protein-coupled receptor 50) (H9)	Gpr50	Mus musculus (Mouse)	591						10090.ENSMUSP00000064608;	CAUTION: It is uncertain whether Met-1 or Met-9 is the initiator. {ECO:0000305}.	
Q91WW3	MRGA3_MOUSE	Mas-related G-protein coupled receptor member A3	Mrgpra3 Mrga3	Mus musculus (Mouse)	302						10090.ENSMUSP00000135437;		
Q8CIQ6	MTR1B_MOUSE	Melatonin receptor type 1B (Mel-1B-R) (Mel1b receptor)	Mtnr1b	Mus musculus (Mouse)	364						10090.ENSMUSP00000053086;		
Q99LJ8	NGBR_MOUSE	"Dehydrodolichyl diphosphate synthase complex subunit Nus1 (EC 2.5.1.87) (Di-trans,poly-cis-decaprenylcistransferase) (Nogo-B receptor) (NgBR) (Nuclear undecaprenyl pyrophosphate synthase 1 homolog)"	Nus1 D10Ertd438e Ngbr	Mus musculus (Mouse)	297						10090.ENSMUSP00000023830;		"MISCELLANEOUS: NUS1 seems to exist in two topological orientations, a minor glycosylated species with its C-terminus oriented towards the lumen regulating NPC2 stability, and a major fraction oriented with its C-terminus directed towards the cytosol where it regulates cis-IPTase activity. {ECO:0000250|UniProtKB:Q96E22}."
Q8C567	NCTR1_MOUSE	Natural cytotoxicity triggering receptor 1 (Activating receptor 1) (mAR-1) (Lymphocyte antigen 94) (Natural killer cell p46-related protein) (NK-p46) (NKp46) (mNKp46) (CD antigen CD335)	Ncr1 Ly94	Mus musculus (Mouse)	325				Q8C567;		10090.ENSMUSP00000006792;		
Q9JKF6	NECT1_MOUSE	Nectin-1 (Herpes virus entry mediator C) (Herpesvirus entry mediator C) (HveC) (Nectin cell adhesion molecule 1) (Poliovirus receptor-related protein 1) (CD antigen CD111)	Nectin1 Hvec Prr1 Pvrl1	Mus musculus (Mouse)	515			DIP-41728N;		MINT-254710;	10090.ENSMUSP00000034510;		
Q91ZU9	NMD3B_MOUSE	"Glutamate receptor ionotropic, NMDA 3B (GluN3B) (N-methyl-D-aspartate receptor subunit NR3B) (NMDAR3B) (NR3B) (NMDA receptor 4) (Nr4)"	Grin3b	Mus musculus (Mouse)	1003						10090.ENSMUSP00000048576;		
O55040	NMUR1_MOUSE	Neuromedin-U receptor 1 (NMU-R1) (G-protein coupled receptor 66) (G-protein coupled receptor FM-3)	Nmur1 Gpr66	Mus musculus (Mouse)	428						10090.ENSMUSP00000027440;		
Q8BZ39	NMUR2_MOUSE	Neuromedin-U receptor 2 (NMU-R2)	Nmur2	Mus musculus (Mouse)	395						10090.ENSMUSP00000044718;		
Q01098	NMDE3_MOUSE	"Glutamate receptor ionotropic, NMDA 2C (GluN2C) (Glutamate [NMDA] receptor subunit epsilon-3) (N-methyl D-aspartate receptor subtype 2C) (NMDAR2C) (NR2C)"	Grin2c	Mus musculus (Mouse)	1239		200070;		Q01098;	MINT-104161;	10090.ENSMUSP00000003351;		
Q8BNJ6	NETO2_MOUSE	Neuropilin and tolloid-like protein 2 (Brain-specific transmembrane protein containing 2 CUB and 1 LDL-receptor class A domains protein 2)	Neto2 Btcl2	Mus musculus (Mouse)	525						10090.ENSMUSP00000105308;		
P47937	NK3R_MOUSE	Neuromedin-K receptor (NKR) (NK-3 receptor) (NK-3R) (Neurokinin B receptor) (Tachykinin receptor 3)	Tacr3 Tac3r	Mus musculus (Mouse)	452						10090.ENSMUSP00000029822;		
O54709	NKG2D_MOUSE	NKG2-D type II integral membrane protein (Killer cell lectin-like receptor subfamily K member 1) (NK cell receptor D) (NKG2-D-activating NK receptor) (CD antigen CD314)	Klrk1 Nkg2d	Mus musculus (Mouse)	232		205095;		O54709;		10090.ENSMUSP00000032252;		"MISCELLANEOUS: Is not capable of signal transduction by itself; isoform 1 operates either through the signaling adapter protein HCST and isoform 2 through both HCST and TYROBP signaling adapter proteins (PubMed:12426564). Some families of ligands for mouse and human KLRK1 receptors have been characterized being very similar in structure and highly likely to be orthologs. In humans, an additional distinct subfamily of ligands (MICA and MICB) differs structurally, having an extra MHC alpha 3-like domain (PubMed:23298206). {ECO:0000305|PubMed:12426564, ECO:0000305|PubMed:23298206}."
P31695	NOTC4_MOUSE	Neurogenic locus notch homolog protein 4 (Notch 4) [Cleaved into: Transforming protein Int-3; Notch 4 extracellular truncation; Notch 4 intracellular domain]	Notch4 Int-3 Int3	Mus musculus (Mouse)	1964	Q93794	201812;		P31695;	MINT-1713714;	10090.ENSMUSP00000015612;		
Q04573	NPY1R_MOUSE	Neuropeptide Y receptor type 1 (NPY1-R)	Npy1r	Mus musculus (Mouse)	382						10090.ENSMUSP00000045530;		
P32507	NECT2_MOUSE	Nectin-2 (Herpes virus entry mediator B) (Herpesvirus entry mediator B) (HveB) (Murine herpes virus entry protein B) (mHveB) (Nectin cell adhesion molecule 2) (Poliovirus receptor homolog) (Poliovirus receptor-related protein 2) (CD antigen CD112)	Nectin2 Mph Pvr Pvrl2 Pvs	Mus musculus (Mouse)	530			DIP-59964N;	P32507;		10090.ENSMUSP00000074898;		
Q8R4I7	NETO1_MOUSE	Neuropilin and tolloid-like protein 1 (Brain-specific transmembrane protein containing 2 CUB and 1 LDL-receptor class A domains protein 1)	Neto1 Btcl1	Mus musculus (Mouse)	533			DIP-48395N;	Q8R4I7;		10090.ENSMUSP00000057340;		
P30548	NK1R_MOUSE	Substance-P receptor (SPR) (NK-1 receptor) (NK-1R) (Tachykinin receptor 1)	Tacr1 Tac1r	Mus musculus (Mouse)	407						10090.ENSMUSP00000032122;		
P30549	NK2R_MOUSE	Substance-K receptor (SKR) (NK-2 receptor) (NK-2R) (Neurokinin A receptor) (Tachykinin receptor 2)	Tacr2 Tac2r	Mus musculus (Mouse)	384						10090.ENSMUSP00000020278;		
Q01097	NMDE2_MOUSE	"Glutamate receptor ionotropic, NMDA 2B (GluN2B) (Glutamate [NMDA] receptor subunit epsilon-2) (N-methyl D-aspartate receptor subtype 2B) (NMDAR2B) (NR2B)"	Grin2b	Mus musculus (Mouse)	1482	Q9JI91; P17426; P11798; Q80YE7; Q62108	200069;	DIP-31568N;	Q01097;	MINT-135847;	10090.ENSMUSP00000062284;		
Q8BZP8	NPSR1_MOUSE	Neuropeptide S receptor (G-protein coupled receptor 154) (G-protein coupled receptor PGR14)	Npsr1 Gpr154 Pgr14	Mus musculus (Mouse)	371						10090.ENSMUSP00000056432;		
O70342	NPY5R_MOUSE	Neuropeptide Y receptor type 5 (NPY5-R) (NPY-Y5 receptor) (NPYY5-R) (Y5 receptor)	Npy5r Npy5	Mus musculus (Mouse)	466						10090.ENSMUSP00000065157;		
P35436	NMDE1_MOUSE	"Glutamate receptor ionotropic, NMDA 2A (GluN2A) (Glutamate [NMDA] receptor subunit epsilon-1) (N-methyl D-aspartate receptor subtype 2A) (NMDAR2A) (NR2A)"	Grin2a	Mus musculus (Mouse)	1464	Q62108; Q63ZW7	200068;	DIP-31567N;	P35436;	MINT-103939;	10090.ENSMUSP00000032331;		
O35516	NOTC2_MOUSE	Neurogenic locus notch homolog protein 2 (Notch 2) (Motch B) [Cleaved into: Notch 2 extracellular truncation; Notch 2 intracellular domain]	Notch2	Mus musculus (Mouse)	2470		201809;	DIP-6008N;	O35516;		10090.ENSMUSP00000078741;		
Q61982	NOTC3_MOUSE	Neurogenic locus notch homolog protein 3 (Notch 3) [Cleaved into: Notch 3 extracellular truncation; Notch 3 intracellular domain]	Notch3	Mus musculus (Mouse)	2318	Q77CA8	201811;		Q61982;	MINT-1955915;	10090.ENSMUSP00000085016;		
P49681	NPBW1_MOUSE	Neuropeptides B/W receptor type 1 (G-protein coupled receptor 7)	Npbwr1 Gpr7	Mus musculus (Mouse)	329						10090.ENSMUSP00000046233;		
Q99J85	NPTXR_MOUSE	Neuronal pentraxin receptor	Nptxr Npr	Mus musculus (Mouse)	493				Q99J85;	MINT-4104086;	10090.ENSMUSP00000023057;		
Q61041	NPY4R_MOUSE	Neuropeptide Y receptor type 4 (NPY4-R) (NPYR-D) (Pancreatic polypeptide receptor 1) (PP1)	Npy4r Ppyr1	Mus musculus (Mouse)	375						10090.ENSMUSP00000056576;		
Q61212	NPY6R_MOUSE	Neuropeptide Y receptor type 6 (NPY6-R) (Pancreatic polypeptide receptor 2) (PP2)	Npy6r Npy5r Ppyr2 Y2b	Mus musculus (Mouse)	371					MINT-4997259;	10090.ENSMUSP00000040797;	CAUTION: Was originally called NPY5-R. {ECO:0000305}.	
O88319	NTR1_MOUSE	Neurotensin receptor type 1 (NT-R-1) (NTR1)	Ntsr1 Ntsr	Mus musculus (Mouse)	424						10090.ENSMUSP00000029084;		
Q60891	OL139_MOUSE	Olfactory receptor 139 (Odorant receptor M5) (Olfactory receptor 1) (Olfactory receptor 255-2)	Olfr139 Mor255-2 Olfr1	Mus musculus (Mouse)	315						10090.ENSMUSP00000049558;		
Q8VF66	OL469_MOUSE	Olfactory receptor 469 (Olfactory receptor 204-21)	Olfr469 Mor204-21	Mus musculus (Mouse)	314						10090.ENSMUSP00000075122;		
Q8VG43	OL472_MOUSE	Olfactory receptor 472 (Olfactory receptor 204-5)	Olfr472 Mor204-5	Mus musculus (Mouse)	310						10090.ENSMUSP00000081815;		
Q8VG02	OL488_MOUSE	Olfactory receptor 488 (Olfactory receptor 204-15)	Olfr488 Mor204-15	Mus musculus (Mouse)	314						10090.ENSMUSP00000072735;		
